id,title,chapter,section,dates,place,region,latitude,longitude,coordinate_basis,climate,climate_basis,spatial,mechanism,sources,status,performance,contributors
C01,Skara Brae,01,Ground as construction,c. 3100-2500 BCE,Orkney Scotland,Europe,59.05,-3.34,approximate geographic navigation only; not surveyed,cool maritime,qualitative; no weather period or quantitative comparison,inside and threshold,ground and stone,R01,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C02,Inuit snowhouse,01,Seasonal knowledge,living seasonal tradition,Canadian Arctic illustrative region,Arctic,67.0,-100.0,approximate geographic navigation only; not surveyed,polar seasonal,qualitative; no weather period or quantitative comparison,inside,seasonal material,R61,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C03,Qeswachaka,01,Living traditions are present tense,living renewal tradition,Quehue Peru,Latin America,-14.38,-71.48,approximate geographic navigation only; not surveyed,highland seasonal,qualitative; no weather period or quantitative comparison,beyond property,fiber and stewardship,R12,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C04,Mesa Verde,01,Settlement and a changing landscape,late 1100s-1200s cliff dwellings,Colorado United States,United States,37.18,-108.49,approximate geographic navigation only; not surveyed,dry highland seasonal,qualitative; no weather period or quantitative comparison,threshold,terrain and settlement,R02 R49,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C05,Nebamun garden painting,02,A garden represented,c. 1350 BCE,Thebes Egypt original context,North Africa,25.72,32.6,approximate geographic navigation only; not surveyed,hot arid,qualitative; no weather period or quantitative comparison,inside representation,symbolism,R04 R50,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C06,Persian Garden Pasargadae reference,02,Water as an organizing line,6th century BCE and later traditions,Iran,West Asia,30.2,53.18,approximate geographic navigation only; not surveyed,dry continental varied across series,qualitative; no weather period or quantitative comparison,outside and threshold,water and geometry,R03 R53,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C07,House of the Vettii,02,A Roman house turns inward,Roman house buried 79 CE,Pompeii Italy,Europe,40.75,14.48,approximate geographic navigation only; not surveyed,Mediterranean seasonal,qualitative; no weather period or quantitative comparison,inside and threshold,peristyle and imagery,R05,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C08,Court of the Lions,03,The Alhambra and the inhabited edge,1362-1391 patronage period,Granada Spain,Europe,37.18,-3.59,approximate geographic navigation only; not surveyed,Mediterranean seasonal,qualitative; no weather period or quantitative comparison,threshold,water and gallery,R06,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C09,Rani ki Vav,03,Rani ki Vav and the descent to water,11th century,Patan India,South Asia,23.86,72.1,approximate geographic navigation only; not surveyed,hot seasonal monsoon,qualitative; no weather period or quantitative comparison,threshold and below ground,water and symbolism,R07,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C10,Suzhou gardens,03,Suzhou and the world within a garden,11th-19th centuries listed ensemble,Suzhou China,East Asia,31.32,120.62,approximate geographic navigation only; not surveyed,humid seasonal,qualitative; no weather period or quantitative comparison,inside threshold outside,landscape framing,R08,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C11,Great Zimbabwe,03,Stone landscapes in Africa and the Pacific,11th-15th centuries,Masvingo Zimbabwe,Sub Saharan Africa,-20.27,30.93,approximate geographic navigation only; not surveyed,seasonal highland,qualitative; no weather period or quantitative comparison,outside and threshold,stone and terrain,R10,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C12,Nan Madol,03,Stone landscapes in Africa and the Pacific,c. 1200-1500 principal ceremonial phases,Pohnpei Micronesia,Oceania,6.84,158.33,approximate geographic navigation only; not surveyed,warm humid maritime,qualitative; no weather period or quantitative comparison,outside beyond property,water and basalt,R11,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C13,Katsura Imperial Villa,04,Katsura and the moving viewpoint,17th century,Kyoto Japan,East Asia,34.99,135.71,approximate geographic navigation only; not surveyed,humid seasonal,qualitative; no weather period or quantitative comparison,inside threshold outside,framed landscape,R09,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C14,Taj Mahal,04,The garden and the monument,17th century,Agra India,South Asia,27.18,78.04,approximate geographic navigation only; not surveyed,hot seasonal monsoon,qualitative; no weather period or quantitative comparison,outside and threshold,water and garden tomb,R54,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C15,Versailles gardens,04,Versailles and the cost of command,from 1661,Versailles France,Europe,48.8,2.12,approximate geographic navigation only; not surveyed,temperate seasonal,qualitative; no weather period or quantitative comparison,outside,water labor and geometry,R14 R51,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C16,Bali Subak landscape,04,Productive landscapes and collective systems,living water management tradition,Bali Indonesia,Southeast Asia,-8.4,115.2,approximate geographic navigation only; not surveyed,tropical seasonal,qualitative; no weather period or quantitative comparison,beyond property,water governance,R58,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C17,Machu Picchu,04,Productive landscapes and collective systems,15th century,Cusco region Peru,Latin America,-13.16,-72.55,approximate geographic navigation only; not surveyed,mountain humid seasonal,qualitative; no weather period or quantitative comparison,outside and threshold,terrain and terraces,R57,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C18,Palm House Kew,05,The glasshouse makes a climate,1844-1848,London United Kingdom,Europe,51.48,-0.29,approximate geographic navigation only; not surveyed,temperate outside tropical enclosure,qualitative; no weather period or quantitative comparison,inside,manufactured climate,R17,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C19,Crystal Palace,05,The glasshouse makes a climate,1851 original exhibition building,London United Kingdom,Europe,51.51,-0.17,approximate geographic navigation only; not surveyed,temperate seasonal,qualitative; no weather period or quantitative comparison,inside,glass and industrial assembly,R16,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C20,Red House,05,Red House and cultivated domesticity,1859-1860,Bexleyheath United Kingdom,Europe,51.46,0.12,approximate geographic navigation only; not surveyed,temperate seasonal,qualitative; no weather period or quantitative comparison,inside outside,ornament craft and garden,R15 R52,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C21,Sagrada Familia,05,Sagrada Familia as a layered case,1882-present construction phases,Barcelona Spain,Europe,41.4,2.17,approximate geographic navigation only; not surveyed,Mediterranean seasonal,qualitative; no weather period or quantitative comparison,inside,geometry structure and light,R18 R19 R20,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C22,Fallingwater,06,Fallingwater and the occupied landscape,1930s; later conservation,Pennsylvania United States,United States,39.91,-79.47,approximate geographic navigation only; not surveyed,humid seasonal cold winter,qualitative; no weather period or quantitative comparison,inside threshold outside,site and water,R21 R22 R60,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C23,Villa Mairea,06,Villa Mairea and material variety,1937-1939 design and construction,Noormarkku Finland,Europe,61.6,21.87,approximate geographic navigation only; not surveyed,cold seasonal,qualitative; no weather period or quantitative comparison,inside threshold,materials and landscape,R23 R24,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C24,New Gourna,06,New Gourna and the limits of an architectural solution,1940s onward altered and incomplete,Luxor Egypt,North Africa,25.72,32.62,approximate geographic navigation only; not surveyed,hot arid,qualitative; no weather period or quantitative comparison,inside and threshold,earth and participation,R26,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C25,Lunuganga,06,Lunuganga and the garden over time,1948 onward,Bentota Sri Lanka,South Asia,6.4,80.03,approximate geographic navigation only; not surveyed,warm humid monsoon,qualitative; no weather period or quantitative comparison,threshold outside,garden and time,R25,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C26,Frei Otto form finding Munich reference,06,Physical form finding,1950s onward; Munich 1972,Munich Germany,Europe,48.17,11.55,approximate geographic navigation only; not surveyed,temperate cold winter,qualitative; no weather period or quantitative comparison,outside and threshold,physical equilibrium,R28,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C27,Sesc Pompeia,07,Environmental responsibility begins with what exists,1982-1986 opening phases,Sao Paulo Brazil,Latin America,-23.53,-46.68,approximate geographic navigation only; not surveyed,humid seasonal,qualitative; no weather period or quantitative comparison,inside threshold outside,reuse and shared occupation,R27,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C28,Eastgate Centre,07,Eastgate and the limits of a persuasive analogy,1996,Harare Zimbabwe,Sub Saharan Africa,-17.83,31.05,approximate geographic navigation only; not surveyed,seasonal highland,qualitative; no weather period or quantitative comparison,inside and envelope,mass ventilation biological analogy,R29 R30,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C29,Gando Primary School,08,Gando and the environmental section,2001,Gando Burkina Faso,Sub Saharan Africa,11.82,-0.38,approximate geographic navigation only; not surveyed,hot dry with wet season,qualitative; no weather period or quantitative comparison,inside and threshold,roof shade and ventilation,R33 R34,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C30,Khoo Teck Puat Hospital,08,A hospital connected to its landscape,2010,Yishun Singapore,Southeast Asia,1.42,103.84,approximate geographic navigation only; not surveyed,warm humid equatorial,qualitative; no weather period or quantitative comparison,inside threshold outside,views planting and access,R36,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C31,Kampung Admiralty,08,Kampung Admiralty and shared access,2017,Woodlands Singapore,Southeast Asia,1.44,103.8,approximate geographic navigation only; not surveyed,warm humid equatorial,qualitative; no weather period or quantitative comparison,threshold and outside,shared landscape and program,R35,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C32,Bosco Verticale,08,Bosco Verticale and the weight of living things,2007-2014,Milan Italy,Europe,45.49,9.19,approximate geographic navigation only; not surveyed,humid seasonal,qualitative; no weather period or quantitative comparison,envelope and outside,planted balconies,R37,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C33,Grand Parc,08,Grand Parc and the ordinary dwelling,2016-2017 source discrepancy,Bordeaux France,Europe,44.86,-0.58,approximate geographic navigation only; not surveyed,temperate seasonal,qualitative; no weather period or quantitative comparison,inside and threshold,reuse winter garden,R38,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
C34,HygroSkin,09,Materials that respond,2013 pavilion,Orleans France,Europe,47.9,1.9,approximate geographic navigation only; not surveyed,prototype controlled exposure,qualitative; no weather period or quantitative comparison,envelope,hygroscopic movement,R39,historical or project account checked against cited record; present operational performance not independently audited,not found as a comparable independent quantitative dataset in sources consulted,see cited source and narrative; community and landscape credits retained where documented
