id,chapter,section,claim,source_ids,evidence_type,access_limitations,confidence,baseline_units,locator
CL001,00-reading-nature,a-wider-meaning-of-nature,"These are editorial categories, not a universal account of how cultures divide the world. At Te Papa in Aotearoa New Zealand, the museum explains its contemporary wharenui through ancestors, bodily relationships and the peoples represented in its carvings. Such an account cannot be reduced to a European opposition between an artificial building and an external natural world. The significance resides in relationships, protocols and lineage as well as in material form.",R13,cultural interpretation,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL002,00-reading-nature,nine-overlapping-relationships,"Symbolism and ornament make nature legible through representation. A leaf pattern may carry religious, political, domestic or personal meaning. Its worth does not depend on saving energy. Biomorphic form describes resemblance: a building may look like a shell or a flower. Biomimicry makes a stronger claim, involving the transfer of a biological function into a design process or system. The Biomimicry Institute's toolbox organizes work around functions and the abstraction of strategies; a photograph of a building beside an organism is only the beginning of that investigation.",R59,functional abstraction,method resource,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL003,00-reading-nature,nine-overlapping-relationships,"Biophilic experience concerns encounters with living things and with patterns, materials and spatial conditions associated with nature. Terrapin's tenth-anniversary framework, published in 2024, retains the familiar fourteen-pattern title while adding awe as a fifteenth pattern. It is useful as a vocabulary for design discussion. A framework is not itself proof that every application produces the same health outcome.",R42,voluntary design framework,framework page and edition details,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL004,00-reading-nature,nine-overlapping-relationships,"Natural, bio-based and living materials also require distinctions. Stone is natural without being biological. Timber is biological in origin but ordinarily not a living tree after installation. A fungal composite may be dried after growth; a photobioreactor intentionally maintains living organisms. Ecological integration concerns the relationships among organisms, habitat, water, soil and management. Regeneration is a consequential claim about improvement over time, which needs a starting condition and a defined boundary. IUCN announced a second edition of its nature-based solutions standard in October 2025; this book identifies that edition rather than assuming the original remains current.",R41 R43,edition verification; not certification audit; research maturity,edition announcement; open-access perspective read selectively,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL005,01-inhabiting-the-world,ground-as-construction,"At Skara Brae in Orkney, occupied in the Neolithic period, stone houses sit within accumulated material and connect through covered passages. Historic Environment Scotland describes fitted stone beds, dressers and central hearths. The settlement was originally inland beside a freshwater loch; its present coastal setting can mislead an interpretation based only on a contemporary photograph.",R01,archaeological interpretation,indexed institutional text; direct request blocked,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL006,01-inhabiting-the-world,seasonal-knowledge,"Arctic shelter makes the danger of universal prescriptions especially clear. An Inuit snowhouse depends on knowledge of snow, wind, construction and seasonal use. The Arctic Council case sheet describes it as a form of environmental adaptation. It is one building practice among varied Inuit dwelling traditions, not a timeless description of how all Inuit people live.",R61,Arctic seasonal shelter,case sheet,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL007,01-inhabiting-the-world,living-traditions-are-present-tense,"The Q'eswachaka bridge over the Apurimac River in Peru broadens the meaning of durability. UNESCO's account identifies the Quechua-speaking communities of Huinchiri, Chaupibanda, Choccayhua and Ccollana Quehue and describes annual renewal using plant-fiber ropes. The renewal joins craft, ceremony and social ties. It is a living practice; it should not be filed away as a vanished technological stage.",R12,community nomination synthesis,indexed full description; direct page challenged,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL008,01-inhabiting-the-world,settlement-and-a-changing-landscape,"Mesa Verde belongs later in the chronology, but it is introduced here to resist the habit of equating environmental adaptation with isolated shelters. The National Park Service describes Ancestral Pueblo communities whose lives included farming, exchange and art. Most surviving cliff dwellings date from the late twelfth and thirteenth centuries. They were part of a much wider settlement history, and living Pueblo peoples remain connected to that history.",R02 R49,dates and architectural variety; history and living descendants,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL009,02-nature-order-civilization,a-garden-represented,"The garden painting from Nebamun's tomb chapel, now in the British Museum, dates to around 1350 BCE. The museum identifies a pool with fish and birds, surrounding trees and the goddess associated with the sycamore. The image combines different viewpoints according to pictorial convention. It is evidence of a represented garden and its meanings, not a measured landscape plan.",R04 R50,iconography and date; object interpretation,collection record and teacher notes; object notes read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL010,02-nature-order-civilization,water-as-an-organizing-line,"UNESCO's Persian Garden inscription links a series of Iranian gardens across periods and climates. It emphasizes the combination of geometric organization, pavilions, walls, planting and water management. Pasargadae provides an early reference within a much longer tradition. The inscription is a cultural-historical synthesis; its broad language about climatic response is not a substitute for a measured comparison among the component gardens.",R03,heritage synthesis,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
