id,file,title,caption,alt,chapter,section,creator,date,source,rights,modifications,image_type,sources
D01,assets/diagrams/taxonomy.svg,Nine relationships; no hierarchy of virtue,"The categories overlap. A cultural, experiential or symbolic value does not establish an ecological outcome.","The categories overlap. A cultural, experiential or symbolic value does not establish an ecological outcome.",00,Nine overlapping relationships,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R41 R42 R43 R59,Original project artwork; no third-party drawing traced,none,schematic diagram,R41 R42 R43 R59
D02,assets/diagrams/evidence-chain.svg,Trace the claim through four separate links,An intention and a measured outcome occupy different positions in the evidence chain. Missing links remain visible.,An intention and a measured outcome occupy different positions in the evidence chain. Missing links remain visible.,00,What evidence can establish,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R29 R31 R32,Original project artwork; no third-party drawing traced,none,schematic diagram,R29 R31 R32
D03,assets/diagrams/materials.svg,"Natural, bio-based and living are different facts",Material origin and living status do not determine a complete environmental result. Each assembly needs its own assessment.,Material origin and living status do not determine a complete environmental result. Each assembly needs its own assessment.,09,Growing materials and defining the product,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R40 R41 R48,Original project artwork; no third-party drawing traced,none,schematic diagram,R40 R41 R48
D04,assets/diagrams/court-atrium.svg,Similar plan; different environmental boundary,"Open sky and glazing create different heat, air, water and maintenance conditions. These generic sections are not reconstructions of a named building.","Open sky and glazing create different heat, air, water and maintenance conditions. These generic sections are not reconstructions of a named building.",02,A Roman house turns inward,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R05 R45,Original project artwork; no third-party drawing traced,none,schematic diagram,R05 R45
D05,assets/diagrams/time.svg,A building has more than one clock,"Daily operation, seasonal adaptation, plant growth and renewal need different observations and responsibilities.","Daily operation, seasonal adaptation, plant growth and renewal need different observations and responsibilities.",01,Seasonal knowledge,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R12 R61,Original project artwork; no third-party drawing traced,none,schematic diagram,R12 R61
D06,assets/diagrams/water-route.svg,"Water is a route, not an isolated feature","A water feature depends on supply, storage, operation and overflow. The generic flow diagram makes those dependencies visible.","A water feature depends on supply, storage, operation and overflow. The generic flow diagram makes those dependencies visible.",02,Water as an organizing line,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R03 R46 R53,Original project artwork; no third-party drawing traced,none,schematic diagram,R03 R46 R53
D07,assets/diagrams/framed-views.svg,A view changes as the observer moves,Successive viewpoints can change apparent depth and enclosure. The diagram is an analytical exercise rather than a measured Katsura plan.,Successive viewpoints can change apparent depth and enclosure. The diagram is an analytical exercise rather than a measured Katsura plan.,04,Katsura and the moving viewpoint,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R08 R09,Original project artwork; no third-party drawing traced,none,schematic diagram,R08 R09
D08,assets/diagrams/branching.svg,A botanical image and a branching support,"Representation and a proposed structural mechanism require different explanations. Arrows indicate a conceptual load path only, not a structural analysis.","Representation and a proposed structural mechanism require different explanations. Arrows indicate a conceptual load path only, not a structural analysis.",05,Sagrada Familia as a layered case,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R19 R20,Original project artwork; no third-party drawing traced,none,schematic diagram,R19 R20
D09,assets/diagrams/ruled-geometry.svg,"Geometry provides a method, not only an image","Crossing straight generators suggest how ruled geometry can organize curved surfaces; this is a conceptual demonstration, not a measured vault.","Crossing straight generators suggest how ruled geometry can organize curved surfaces; this is a conceptual demonstration, not a measured vault.",05,Sagrada Familia as a layered case,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R19 R20,Original project artwork; no third-party drawing traced,none,schematic diagram,R19 R20
D10,assets/diagrams/ventilated-roof.svg,Separate solar interception from occupied enclosure,Conceptual section inspired by the documented Gando roof strategy. Air arrows show intended paths; actual rates and comfort require testing.,Conceptual section inspired by the documented Gando roof strategy. Air arrows show intended paths; actual rates and comfort require testing.,08,Gando and the environmental section,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R33 R34,Original project artwork; no third-party drawing traced,none,schematic diagram,R33 R34
D11,assets/diagrams/thermal-cycle.svg,Storage needs a credible discharge cycle,Thermal mass participates in a daily energy balance. This generic diagram does not reproduce Eastgate engineering or establish performance.,Thermal mass participates in a daily energy balance. This generic diagram does not reproduce Eastgate engineering or establish performance.,07,Eastgate and the limits of a persuasive analogy,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R29 R30 R45,Original project artwork; no third-party drawing traced,none,schematic diagram,R29 R30 R45
D12,assets/diagrams/tree-section.svg,The tree and its care belong in the section,"A conceptual planter diagram identifies mature vegetation, saturated substrate, drainage and replacement access. No dimensions or loading values are implied.","A conceptual planter diagram identifies mature vegetation, saturated substrate, drainage and replacement access. No dimensions or loading values are implied.",08,Bosco Verticale and the weight of living things,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R37 R44,Original project artwork; no third-party drawing traced,none,schematic diagram,R37 R44
D13,assets/diagrams/retrofitted-edge.svg,Transforming a dwelling through its edge,"A generic dwelling, winter garden and balcony section clarifies distinct enclosure conditions. It is inspired by Grand Parc, not a measured project drawing.","A generic dwelling, winter garden and balcony section clarifies distinct enclosure conditions. It is inspired by Grand Parc, not a measured project drawing.",08,Grand Parc and the ordinary dwelling,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R38,Original project artwork; no third-party drawing traced,none,schematic diagram,R38
D14,assets/diagrams/roof-layers.svg,A planted roof is an assembly,"The order is conceptual: project-specific compatible products, details, loading and maintenance are still required.","The order is conceptual: project-specific compatible products, details, loading and maintenance are still required.",10,Planting on roofs and walls,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R44 R46,Original project artwork; no third-party drawing traced,none,schematic diagram,R44 R46
D15,assets/diagrams/habitat-glass.svg,Avoid harm as well as adding vegetation,Visible glass treatments and reduced unnecessary night lighting address hazards that planted landscapes alone do not resolve. Pattern spacing is intentionally unspecified.,Visible glass treatments and reduced unnecessary night lighting address hazards that planted landscapes alone do not resolve. Pattern spacing is intentionally unspecified.,10,Habitat glass and night lighting,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R47,Original project artwork; no third-party drawing traced,none,schematic diagram,R47
D16,assets/diagrams/maturity.svg,Match the next step to the evidence,"A field pilot, pavilion and material sample establish different kinds of evidence. Each requires a different next test before ordinary adoption.","A field pilot, pavilion and material sample establish different kinds of evidence. Each requires a different next test before ordinary adoption.",09,A responsible future drawing,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R39 R40 R41,Original project artwork; no third-party drawing traced,none,schematic diagram,R39 R40 R41
D17,assets/diagrams/material-life.svg,A material claim needs a complete boundary,Material origin alone does not establish whole-life environmental performance. Compare options providing the same function.,Material origin alone does not establish whole-life environmental performance. Compare options providing the same function.,10,Natural and bio-based materials,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R48,Original project artwork; no third-party drawing traced,none,schematic diagram,R48
D18,assets/diagrams/comparison-pairs.svg,Six comparisons that expose different questions,"The pairs are analytical comparisons, not rankings or claims of historical transmission.","The pairs are analytical comparisons, not rankings or claims of historical transmission.",11,Six comparisons to keep in the studio,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; R05 R19 R32 R37 R38 R47,Original project artwork; no third-party drawing traced,none,schematic diagram,R05 R19 R32 R37 R38 R47
D19,assets/diagrams/world-locations.svg,The geographical reach of the book,"World map using Natural Earth land outlines, approximate coordinates and a longitude-latitude graticule. Dots are navigation aids, not survey locations; use the linked case index for names.","World map using Natural Earth land outlines, approximate coordinates and a longitude-latitude graticule. Dots are navigation aids, not survey locations; use the linked case index for names.",00,How to read and listen,Original case-location map; base geography by Natural Earth,2026-09-20,Author synthesis; Case register; https://www.naturalearthdata.com/about/terms-of-use/,Original location overlay; Natural Earth land outlines public domain,Natural Earth 1:110m land projected to equirectangular; case locations overlaid,schematic diagram,Case register; https://www.naturalearthdata.com/about/terms-of-use/
D20,assets/diagrams/timeline.svg,Parallel histories; unequal period lengths,This editorial timeline compares selected threads in parallel. Column widths are not proportional to elapsed time; living traditions are not confined to an origins column.,This editorial timeline compares selected threads in parallel. Column widths are not proportional to elapsed time; living traditions are not confined to an origins column.,00,How to read and listen,Original analytical diagram prepared for Nature + Architecture,2026-09-20,Author synthesis; Case register,Original project artwork; no third-party drawing traced,none,schematic diagram,Case register
P01,assets/images/aks-the-reflection-taj-mahal-jpg.jpg,"Taj Mahal, Agra, India",The garden-pool reflection doubles the mausoleum and its horizon: water becomes a visual medium that orders the architectural ensemble.,The Taj Mahal and flanking red sandstone buildings reflected in still water beneath a cloudy sky.,04,The garden and the monument,Antrix3,2016-08-21 07:06:58,https://commons.wikimedia.org/wiki/File:Aks_The_Reflection_Taj_Mahal.jpg,CC BY-SA 4.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P02,assets/images/chand-baori-stepwell-jpg.jpg,"Chand Baori, Abhaneri, India","Comparison image: Chand Baori at Abhaneri, not Rani ki Vav. A repeated geometry of steps makes a deep water structure accessible at many levels, joining water storage to the experience of descent.",Dense zigzag flights of stone steps descend into Chand Baori beside arcaded chambers.,03,Rani ki Vav and the descent to water,Pablo Nicolás Taibi Cicare,2007-12-22,"https://commons.wikimedia.org/wiki/File:Chand_Baori,_stepwell.jpg",CC BY 2.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P03,assets/images/cliff-palace-colorado-mesa-verde-np-jpg.jpg,"Cliff Palace, Mesa Verde, United States","The sandstone alcove supplies a vast natural roof, while masonry rooms and circular kivas adapt a settlement to the protected recess.",Stone dwellings and circular kivas clustered beneath a massive sandstone overhang.,01,Settlement and a changing landscape,Tobi 87,08.07.2007,https://commons.wikimedia.org/wiki/File:Cliff_Palace-Colorado-Mesa_Verde_NP.jpg,CC BY-SA 4.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P04,assets/images/crystal-palace-interior-jpg.jpg,"Crystal Palace interior, London, 1851","This historical illustration presents the exhibition hall as an immense glazed enclosure, making its iron framework and roof the organizing system of an artificial interior world.",A nineteenth-century color illustration of visitors and exhibits beneath the Crystal Palace glass and iron roof.,05,The glasshouse makes a climate,J. McNeven,1851,https://commons.wikimedia.org/wiki/File:Crystal_Palace_-_interior.jpg,Public domain,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,historical illustration,
P06,assets/images/humble-administrator-s-garden-suzhou-november-2017-005-jpg.jpg,"Humble Administrator’s Garden, Suzhou, China",Water opens a long view while trees and small structures frame its edges; landscape is assembled as a sequence of spatial relationships.,A pond reflects autumn trees and garden pavilions in Suzhou.,03,Suzhou and the world within a garden,King of Hearts,2017-11-27 11:37,https://commons.wikimedia.org/wiki/File:Humble_Administrator%27s_Garden_Suzhou_November_2017_005.jpg,CC BY-SA 4.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P07,assets/images/kare-sansui-zen-garden-ry-an-ji-kyoto-20190416-1-jpg.jpg,"Ryōan-ji dry landscape garden, Kyoto, Japan","Comparison image: Ryoan-ji, not Katsura Imperial Villa. Raked gravel, isolated stones, and an enclosing wall condense landscape into a carefully bounded field for viewing.",Rock groups stand in raked pale gravel before a low wall and trees at Ryōan-ji.,04,Katsura and the moving viewpoint,DXR,16 April 2019 12:52:20.82,"https://commons.wikimedia.org/wiki/File:Kare-sansui_zen_garden,_Ry%C5%8Dan-ji,_Kyoto_20190416_1.jpg",CC BY-SA 4.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P08,assets/images/lunuganga-bentota-sri-lanka-jpg.jpg,"Lunuganga, Bentota, Sri Lanka","Layered shade, water, lawn, and a framed descent turn the garden into a sequence of outdoor rooms.",A shaded foreground overlooks a sunlit lawn and pond surrounded by trees at Lunuganga.,06,Lunuganga and the garden over time,Labeet,2012-08-09 07:10:11,"https://commons.wikimedia.org/wiki/File:Lunuganga,_Bentota,_Sri_Lanka..JPG",CC BY-SA 3.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P09,assets/images/orkney-skara-brae-jpg.jpg,"Skara Brae, Orkney, Scotland","Stone walls and fittings occupy a low, sheltered domestic enclosure; the surviving room makes material continuity with its rocky setting visible.",Excavated stone walls and domestic stone fittings inside a house at Skara Brae.,01,Ground as construction,Dr. John F. Burka,2002-08-24,https://commons.wikimedia.org/wiki/File:Orkney_Skara_Brae.jpg,CC BY-SA 3.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P10,assets/images/pavillon-cour-des-lions-alhambra-granada-spain-jpg.jpg,"Court of the Lions, Alhambra, Granada, Spain",A deep roof and slender columns make a shaded threshold between enclosed rooms and the open court.,An ornate pavilion with slender columns and carved arches in the Alhambra’s Court of the Lions.,03,The Alhambra and the inhabited edge,Jebulon,2012-08-14 09:13:25,https://commons.wikimedia.org/wiki/File:Pavillon_Cour_des_Lions_Alhambra_Granada_Spain.jpg,CC0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P11,assets/images/sesc-pomp-ia-arq-lina-bo-bardi-11256675433-jpg.jpg,"SESC Pompeia, São Paulo, Brazil","Projecting concrete links cut across the sky, making movement between the building’s massive volumes visible from outside.",Concrete façade and projecting bridge ends at SESC Pompeia against blue sky.,07,Environmental responsibility begins with what exists,"paulisson miura from Cuiabá, Brasil",2012-12-28 15:29,"https://commons.wikimedia.org/wiki/File:SESC_Pomp%C3%A9ia,_Arq._Lina_Bo_Bardi_(11256675433).jpg",CC BY 2.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P12,assets/images/sagrada-familia-march-2015-10a-jpg.jpg,"Sagrada Família interior canopy, Barcelona, Spain",Branching supports distribute into a luminous vault: the tree analogy organizes both the structural image and the experience of looking upward.,Upward view of branching columns and geometric ceiling openings inside the Sagrada Família.,05,Sagrada Familia as a layered case,Alvesgaspar,2015-03-06 16:29:05,https://commons.wikimedia.org/wiki/File:Sagrada_Familia_March_2015-10a.jpg,CC BY-SA 4.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P13,assets/images/villa-mairea-noormarkku-finland-26915873731-jpg.jpg,"Villa Mairea terrace, Noormarkku, Finland","Stone paving, timber overhead, a rough fireplace, and an open edge give the covered terrace the character of a room within the landscape.","A covered terrace at Villa Mairea with wicker chairs, stone paving, and a stone fireplace.",06,Villa Mairea and material variety,"Ninara from Helsinki, Finland",2016-05-07 13:24,"https://commons.wikimedia.org/wiki/File:Villa_Mairea,_Noormarkku,_Finland_(26915873731).jpg",CC BY 2.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P14,assets/images/eastgate-centre-harare-zimbabwe-jpg.jpg,"Eastgate Centre, Harare, Zimbabwe",The rooftop chimneys visibly mark an environmental service system; the photograph records the building rather than proving any particular energy-saving claim.,"Eastgate Centre in the foreground of Harare’s skyline, with rows of roof chimneys.",07,Eastgate and the limits of a persuasive analogy,David Brazier,2008-01-11 15:40:59,"https://commons.wikimedia.org/wiki/File:Eastgate_Centre,_Harare,_Zimbabwe.jpg",CC BY-SA 3.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P15,assets/images/link-bridge-at-ktph-jpg.jpg,"Khoo Teck Puat Hospital, Singapore — planted circulation",Planted terraces and bridges place daily circulation beside vegetation and the wider waterside landscape.,A high view across planted terraces and a link bridge at Khoo Teck Puat Hospital toward a pond.,08,A hospital connected to its landscape,KTPH,2013-07-05 15:25:31,https://commons.wikimedia.org/wiki/File:Link_bridge_at_KTPH.jpg,CC BY-SA 4.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P16,assets/images/olympiastadion-dach-1-jpg.jpg,"Munich Olympic roof, Germany",The cable net and mast reveal a structure held in tension; the open sky makes the roof’s curvature and lightness legible.,View upward through the cable-net Olympic roof toward a mast and blue sky.,06,Physical form finding,Mölchlein,2020-08-24 16:51:27,https://commons.wikimedia.org/wiki/File:Olympiastadion_Dach_1.jpg,CC BY-SA 4.0,Wikimedia-provided reduced-resolution copy; no editorial crop or retouching.,documentary photograph,
P18,assets/images/fallingwater-2007.jpg,"Fallingwater, Pennsylvania, United States",Cantilevered terraces extend over the falls while stone piers and woodland tie the house to the layered rock and stream of its site.,"Fallingwater’s pale cantilevered terraces over a waterfall, surrounded by dense green woodland.",06,Fallingwater and the occupied landscape,Carol M. Highsmith,2007-08-18,https://commons.wikimedia.org/wiki/File:Fallingwater_2007.jpg,Public domain,Wikimedia-provided reduced-resolution copy of existing Commons crop; no further editorial crop or retouching.,documentary photograph,
